Date,SPY,VTI,BND,EMB,TLT,MBB,IAU,USO,USDEUR,USDJPY
12/18/2007,115.5,57.7,53.4,#N/A,64.5,72.8,7.9,71.1,0.694,113.4
12/19/2007,115.5,57.6,53.7,58,65.3,73.2,7.9,72.2,0.695,113.4
12/20/2007,116.3,58,53.7,58,65.2,73.1,7.9,72.1,0.698,113.1
12/21/2007,117.9,58.9,53.3,57.9,64.2,72.8,8,73.8,0.695,114.1
12/24/2007,118.8,59.5,53.3,58,63.9,72.6,8,74,0.695,114.3
12/25/2007,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.694,114.1
12/26/2007,119.1,59.5,53.2,58.1,63.4,72.5,8.2,75.9,0.69,114.3
12/27/2007,117.6,58.8,53.4,58,64.1,72.8,8.2,76.3,0.684,113.7
12/28/2007,117.3,58.6,53.6,58.1,65.1,73.3,8.3,75.9,0.679,112.3
12/31/2007,116.4,58.3,54.1,58.1,65.5,73.3,8.2,75.8,0.686,111.8
1/1/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.685,111.7
1/2/2008,115.4,57.6,54.1,58.2,66.4,73.8,8.5,78.5,0.68,109.7
1/3/2008,115.3,57.5,54.2,58.3,66.3,73.8,8.6,78.4,0.678,109.3
1/4/2008,112.5,56,54.2,58.4,66.3,73.9,8.5,77.3,0.678,108.6
1/7/2008,112.4,56,54.2,58.5,66.6,74.1,8.5,75.5,0.681,109.2
1/8/2008,110.6,55,54.3,58.6,66.5,74,8.7,76.1,0.68,108.9
1/9/2008,111.8,55.6,54.2,58.6,66.7,74.1,8.7,75.3,0.682,110.1
1/10/2008,112.5,55.9,54.2,58.6,65.8,73.9,8.8,74,0.676,109.3
1/11/2008,111.6,55.4,54.4,58.4,66.3,74.3,8.9,73.1,0.677,108.8
1/14/2008,112.5,55.9,54.5,58.6,66.5,74.3,9,74.3,0.673,108.2
1/15/2008,110,54.6,54.6,58.7,67.3,74.5,8.8,72.8,0.676,106.8
1/16/2008,109.1,54.3,54.5,58.8,66.8,74.2,8.7,71.9,0.683,107.6
1/17/2008,106.2,52.8,54.8,58.8,67.6,74.5,8.7,71,0.683,106.5
1/18/2008,105.1,52.4,54.7,58.8,67.2,74.4,8.8,71.5,0.684,106.9
1/21/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.692,106
1/22/2008,104.1,51.8,55.1,58.5,67.9,74.8,8.8,70.6,0.684,106.4
1/23/2008,106.6,53.2,55,58.5,67.7,74.7,8.8,69.5,0.684,106.7
1/24/2008,107.5,53.5,54.6,58.5,66.4,74.2,9,70.9,0.678,107.2
1/25/2008,105.9,52.7,55,58.6,67.5,74.5,9,71.9,0.681,106.7
1/28/2008,107.7,53.8,54.8,58.6,67.3,74.5,9.2,72.4,0.677,106.9
1/29/2008,108.2,54.1,54.7,58.5,66.8,74.4,9.1,73,0.677,107.1
1/30/2008,107.4,53.6,54.7,58.7,66.4,74.4,9.2,73.1,0.673,106.2
1/31/2008,109.4,54.7,54.8,58.7,66.8,74.6,9.2,72.4,0.673,106.5
2/1/2008,111.1,55.6,55,58.7,67.2,74.6,8.9,70.5,0.676,106.5
2/4/2008,109.7,54.9,54.8,58.7,66.5,74.5,8.9,71.4,0.674,106.7
2/5/2008,106.8,53.3,54.9,58.6,67,74.7,8.8,70.2,0.683,106.8
2/6/2008,105.9,52.9,54.8,58.6,66.8,74.6,8.9,69,0.684,106.5
2/7/2008,106.6,53.4,54.5,58.4,65.4,74.3,9,69.8,0.69,107.5
2/8/2008,105.9,53.1,54.6,58.2,66.2,74.5,9.1,72.9,0.689,107.3
2/11/2008,106.5,53.4,54.8,58.2,66.4,74.5,9.2,74.6,0.689,107
2/12/2008,107.5,53.9,54.7,58.2,66,74.4,9,73.6,0.686,107.3
2/13/2008,108.6,54.5,54.4,58.3,65.3,74.2,9,74.1,0.686,108.3
2/14/2008,107.6,53.8,54.1,58.3,64.4,73.8,9,75.8,0.683,107.9
2/15/2008,107.6,53.8,54.2,58.4,64.9,73.8,8.9,75.9,0.681,107.8
2/18/2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.682,108.2
2/19/2008,107.9,54,53.7,57.9,64.2,73.2,9.2,78.8,0.679,107.8
2/20/2008,108.2,54.2,53.7,#N/A,64.7,73.3,9.3,79.3,0.68,108.1
2/21/2008,107.3,53.6,54.2,57.9,65.3,73.7,9.3,77.3,0.675,107.4
2/22/2008,108,53.9,54.1,58.1,65,73.4,9.4,78.6,0.674,107.2
2/25/2008,109.3,54.8,53.8,58.2,64.3,73.1,9.3,78.7,0.674,108.1
2/26/2008,110.2,55.1,54,58.2,64.3,73.3,9.4,80.1,0.668,107.3
2/27/2008,110,55.1,54.1,58.3,64.4,73.7,9.5,78.9,0.661,106.5
2/28/2008,109,54.5,54.5,58.3,65.5,74.2,9.6,81.5,0.658,105.4
2/29/2008,106.5,53.3,54.8,58.5,66.5,74.5,9.6,80.4,0.659,103.7
3/3/2008,106.3,53.1,54.7,58.5,66.4,74.3,9.7,81.3,0.658,103.5
3/4/2008,105.9,52.9,54.4,58.4,65.7,73.8,9.5,79.4,0.657,103.4
